Name,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,01/04/21,01/05/21,01/07/21,01/10/21,01/13/21,01/30/21,02/08/21,02/13/21,02/20/21,03/02/21,03/07/21,03/12/21,03/15/21,03/22/21,03/25/21,03/26/21,03/29/21,03/30/21,04/04/21,04/05/21,04/07/21,04/09/21
Athlon 3000G Picasso,,,,,,,,,,,,,,,,,,,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
Ryzen 3 3200G,139.99,139.99,139.99,139.99,99.99,99.99,99.99,99.99,139.99,139.99,139.99,139.99,139.99,,,,,,,,119.99,119.99,119.99,119.99,119.99,119.99,119.99,139.99,139.99
Ryzen 5 3400G,169.99,169.99,169.99,169.99,169.99,169.99,169.99,,,179.99,179.99,179.99,,,,,,,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99
Ryzen 5 3600,249.99,249.99,249.99,249.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,179.99,179.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99
Ryzen 5 3600X,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99,,229.99,,,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99
Ryzen 5 5600X,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,279.99,279.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,349.99
Ryzen 7 3700X,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99
Ryzen 7 3800X,339.99,339.99,339.99,339.99,319.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99
Ryzen 7 3800XT,349.99,349.99,349.99,349.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,,,,,,,,,,,,,,,
Ryzen 7 5800X,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99
Ryzen 9 3900X,529.99,529.99,529.99,529.99,549.99,549.99,549.99,499.99,469.99,469.99,469.99,469.99,469.99,469.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99
Ryzen 9 3900XT,,,,549.99,569.99,569.99,569.99,519.99,499.99,499.99,499.99,499.99,499.99,499.99,,,,,,,,,,,,,,,
Ryzen 9 3950X,679.99,679.99,679.99,679.99,679.99,649.99,649.99,649.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99
Ryzen 9 5900X,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,,549.99,549.99,549.99,549.99,549.99,549.99
Ryzen 9 5950X,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,,,,,799.99,799.99,799.99,799.99
Ryzen Threadripper 3960X,1399.99,1399.99,1399.99,1399.99,1399.99,1599.99,1599.99,1599.99,1599.99,1599.99,1399.99,1399.99,1399.99,1399.99,1599.99,1599.99,1499.99,1499.99,1399.99,1399.99,1399.99,1399.99,1399.99,1399.99,1399.99,1399.99,1399.99,1299.99,1299.99
Ryzen Threadripper 3970X,1999.99,1999.99,1999.99,1999.99,1999.99,2199.99,2199.99,2199.99,2199.99,2199.99,2199.99,2199.99,1999.99,1999.99,2199.99,2199.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99
Ryzen Threadripper 3990X,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,3899.99,3899.99,3899.99,3999.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99
Ryzen Threadripper PRO,,,,,,,,,,,,,,,,,2749.99,5489.99,5489.99,5489.99,5489.99,5489.99,5489.99,5489.99,5489.99,5399.99,5399.99,5399.99,5399.99
